pop,upop
12374253.00,22.31
609571502.00,17.24
245217050.00,15.59
244910884.00,15.57
1072111139.00,26.25
3193888078.00,34.91
9531555.00,9.11
1762621.00,31.09
11985130.00,34.66
21883.00,67.49
16410.00,65.87
5565808.00,11.62
57368.00,37.82
21621845.00,75.31
2070427.00,53.89
56697.00,50.73
10950000.00,82.73
7175811.00,64.91
4307315.00,51.76
127331.00,61.93
178048.00,82.37
52532595.00,5.73
233587.00,37.00
8437232.00,35.82
9289770.00,92.84
100166.00,53.10
2543335.00,11.12
47700.00,100.00
240364.00,4.22
3913397.00,37.66
3406466.00,21.21
564316.00,3.17
79368453.00,49.08
93650.00,48.92
8078145.00,42.23
5027818.00,4.99
2950903.00,2.19
216913.00,17.50
6181137.00,10.50
5719135.00,15.65
18964000.00,71.31
8228.00,100.00
1585765.00,22.10
3184775.00,7.53
112595.00,37.91
8237555.00,70.20
682335000.00,17.76
18033548.00,48.93
198205.00,15.07
16461914.00,22.98
1096502.00,33.78
1484512.00,34.61
3889859.00,21.58
4231408.00,32.98
7618359.00,58.96
130860.00,75.88
577912.00,37.18
9670685.00,61.04
4684483.00,75.76
100622.00,53.79
62920.00,38.05
3638628.00,33.06
4953735.00,35.61
29322709.00,38.98
3015885.00,38.71
260990.00,26.32
1512671.00,10.70
1258857.00,59.84
23798378.00,7.10
35550.00,23.81
436208.00,31.40
4523309.00,58.00
48803680.00,64.70
86839.00,45.39
516270.00,20.92
389070.00,12.86
3816100.00,44.54
74714353.00,71.83
7303432.00,24.92
8479625.00,58.22
36400.00,62.98
93354.00,30.90
71289.00,53.40
4476923.00,33.09
3749920.00,11.92
636593.00,14.05
618887.00,29.13
4103732.00,16.76
2211144.00,24.49
3420900.00,85.87
10087947.00,57.18
185653.00,81.78
477729958.00,18.41
95055669.00,15.30
23680433.00,35.72
7888914.00,47.53
2852650.00,47.47
49089.00,55.83
2379000.00,79.50
51252000.00,60.85
1707019.00,35.99
96812000.00,66.06
999392.00,53.57
10913552.00,45.85
8908425.00,8.04
44372.00,18.23
12065470.00,43.12
27261747.00,30.41
381665.00,77.51
2413700.00,35.18
2272078.00,8.17
2210919.00,55.25
1984982.00,47.48
898342.00,5.03
1196588.00,20.66
1592111.00,30.00
17722.00,19.89
2898950.00,42.43
324100.00,70.95
188703.00,95.77
1547445.00,37.75
5486593.00,11.66
3872124.00,4.69
8999247.00,28.56
97556.00,11.35
5441611.00,11.97
322550.00,89.95
16111.00,39.78
936014.00,8.67
718861.00,35.06
41939880.00,53.27
48875.00,23.04
2721000.00,25.86
23169.00,100.00
1042383.00,41.06
491491.00,20.99
13488517.00,30.85
7961458.00,5.35
22947286.00,20.26
648668.00,19.17
10544586.00,3.65
11965966.00,60.39
85700.00,41.68
2531800.00,77.73
1943591.00,41.01
3703159.00,6.26
48128460.00,16.09
10709.00,55.77
3666537.00,54.30
593504.00,19.79
48312888.00,23.00
10381.00,57.70
1238824.00,43.14
2075630.00,4.69
2058916.00,35.92
10961539.00,49.63
29016770.00,31.08
30712000.00,49.33
9030355.00,36.10
2504530.00,48.72
61647.00,86.50
18797850.00,36.28
123960000.00,56.41
3102968.00,2.77
119564.00,19.14
16616.00,52.21
64181.00,19.19
4516663.00,35.01
3450418.00,24.97
45176.00,30.88
2269890.00,19.06
1795000.00,100.00
4282017.00,35.48
1616971.00,30.78
128863.00,6.62
2937360.00,18.92
18936138.00,47.02
3131686.00,8.71
31296651.00,59.31
10582000.00,16.92
50533.00,29.55
93397.00,22.17
84167.00,27.31
8223613.00,12.26
314530.00,47.37
373991.00,5.31
7604328.00,75.22
5694247.00,52.95
5057825.00,38.69
2312193.00,34.35
11005882.00,5.70
29967043.00,20.00
526936.00,10.79
1631763.00,12.81
69000.00,18.70
892571.00,15.49
4436643.00,38.83
29597047.00,33.14
1769008.00,46.85
5741.00,48.71
6542.00,17.59
7487411.00,5.05
44285897.00,49.05
125216.00,76.09
53650000.00,78.10
189242000.00,71.13
2635128.00,80.90
9611601.00,34.76
69962.00,10.95
9130346.00,64.98
36836000.00,15.71
38700.00,60.60
5429501.00,10.22
3342894.00,20.71
4140804.00,13.58
103273929.00,34.36
4514432.00,32.58
94722599.00,47.21
1110558625.00,24.60
952838633.00,18.82
275382199.00,64.19
698998988.00,57.57
166977242.00,40.84
424075860.00,63.11
132146798.00,20.00
178802599.00,13.71
956921525.00,64.97
198896794.00,59.57
758024731.00,66.30
246458356.00,52.48
199754929.00,48.31
265039360.00,10.71
2302381215.00,23.12
171657780.00,12.66
1032387068.00,20.85
117734910.00,38.06
108832515.00,36.78
2130723435.00,23.97
211262900.00,71.57
831581967.00,64.48
7129954.00,16.42
980370.00,23.80
12624756.00,22.77
623073110.00,17.44
251215851.00,15.92
250904786.00,15.91
1098336367.00,26.89
3259302740.00,35.30
9728645.00,9.43
1814135.00,31.16
12295973.00,36.14
22701.00,67.92
17470.00,68.21
5665701.00,12.06
58500.00,37.21
21953926.00,75.84
2138133.00,54.76
57029.00,50.72
11167000.00,83.11
7223801.00,64.96
4445653.00,51.46
133697.00,62.64
182774.00,82.39
54129390.00,5.96
234547.00,37.07
8524224.00,37.00
9378113.00,92.99
103070.00,52.79
2586362.00,11.80
48900.00,100.00
246324.00,4.45
3990855.00,37.96
3468083.00,22.00
579560.00,3.32
81751802.00,50.06
97933.00,50.78
8144340.00,43.99
5098892.00,5.10
3011957.00,2.23
223854.00,17.79
6329411.00,10.66
5850454.00,16.26
19325000.00,72.11
8299.00,100.00
1616515.00,22.80
3247798.00,7.88
113778.00,37.65
8423614.00,70.96
698355000.00,18.30
18581972.00,50.24
201665.00,16.00
16903899.00,23.20
1126602.00,34.52
1537035.00,35.20
4049675.00,23.01
4259680.00,33.97
7787149.00,59.15
133148.00,76.26
578629.00,37.68
9727804.00,61.53
4722072.00,76.41
107584.00,54.95
63921.00,38.11
3757962.00,34.04
5099470.00,36.12
30094082.00,39.33
3106186.00,38.81
264743.00,26.41
1550297.00,11.04
1277086.00,60.60
24396965.00,7.34
35946.00,24.67
450452.00,31.99
4548543.00,58.83
49449403.00,65.90
90132.00,46.78
523793.00,22.32
394552.00,13.68
3870300.00,45.04
75318337.00,71.89
7513286.00,25.49
8510429.00,59.10
37600.00,64.53
94066.00,31.09
73048.00,54.48
4600846.00,33.68
3812004.00,12.44
643962.00,14.20
635778.00,29.17
4186636.00,17.17
2282764.00,25.09
3504600.00,86.15
10119835.00,57.60
188983.00,82.26
487690114.00,18.60
97638027.00,15.54
24308080.00,36.39
8122200.00,49.09
2866550.00,48.09
49818.00,56.07
2475000.00,80.23
51675350.00,61.35
1734763.00,36.74
97826000.00,66.97
1060998.00,53.91
11267329.00,46.40
9200158.00,8.32
45424.00,18.92
12282421.00,44.10
27984155.00,31.37
431366.00,78.34
2495300.00,35.52
2325742.00,8.25
2240623.00,56.05
2041212.00,49.21
915473.00,5.66
1224094.00,21.38
1652294.00,30.92
18170.00,19.68
2935200.00,43.44
327750.00,71.46
197523.00,95.98
1569143.00,39.05
5625401.00,12.01
3963424.00,4.80
9287442.00,29.23
100177.00,11.40
5503748.00,12.29
321250.00,89.89
16702.00,41.21
963746.00,9.36
736381.00,36.02
43264267.00,54.10
50483.00,23.29
2774000.00,26.70
23237.00,100.00
1074517.00,41.59
496685.00,21.77
13871988.00,31.35
8129268.00,5.56
23471163.00,20.61
665297.00,19.60
10719988.00,3.70
12127120.00,60.57
88100.00,43.16
